Dossard,Place,Nom,Prénom,Club Ufolep 38,Département,Fédération
19,1,REINA,Yannick,TEAM ATC 26 DONZERE,26,UFOLEP
16,2,CHAPELLE,Ludovic,TEAM ATC 26 DONZERE,26,UFOLEP
20,3,TAILLEZ,Laurent,TEAM ATC 26 DONZERE,26,UFOLEP
2,4,MARCHAIS,Alexandre,LE FONTANIL CYCLISME,38,UFOLEP
21,5,DEBUCK,Laurent,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,38,UFOLEP
8,6,GUILLERMIN,Roland,RIVES UNION CYCLISTE,38,UFOLEP
17,7,MESSY,Patrick,VELO CLUB DE PORT DE BOUC,38,UFOLEP
6,8,PARA,Damien,ECHIROLLES SPRINTCLUB AMICALELAIQUE,38,UFOLEP
1,9,FOURNIER,Stephane,LE FONTANIL CYCLISME,38,UFOLEP
14,10,RAMBAUD,Julien,TEAM 3 MASSIFS,38,UFOLEP
7,11,VIAL,Jacques,ECHIROLLES SPRINTCLUB AMICALELAIQUE,38,UFOLEP
5,12,GLENAZ,Laurent,ECHIROLLES SPRINTCLUB AMICALELAIQUE,38,UFOLEP
4,13,BERNABE,Bruno,ECHIROLLES SPRINTCLUB AMICALELAIQUE,38,UFOLEP
9,14,LARIZZA,Sébastien,RIVES UNION CYCLISTE,38,UFOLEP
3,15,LOUPIEN,Vincent,CYCLO CLUB DE GIERES,38,UFOLEP
10,16,VALERO,Jesus,RIVES UNION CYCLISTE,38,UFOLEP
12,18,CARUELLE,Florent,TEAM 3 MASSIFS,38,UFOLEP
15,19,ARGENTA,Gerard,TEAM ATC 26 DONZERE,26,UFOLEP
18,20,FABBRO,Denis,TEAM ATC 26 DONZERE,26,UFOLEP
13,21,HURSON,Nicolas,TEAM 3 MASSIFS,38,UFOLEP
11,22,CARRE,Herve,TEAM 3 MASSIFS,38,UFOLEP
