Dossard,Place,Nom,Prénom,Club Ufolep 38,Département,Fédération
95,1,MELEZE,Louison,SUD GRESIVAUDAN CYCLISME,38,UFOLEP
96,2,SELIN,Loic,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
